timestep_time,vehicle_angle,vehicle_id,vehicle_lane,vehicle_pos,vehicle_slope,vehicle_speed,vehicle_type,vehicle_x,vehicle_y
0.00,294.32,0,-gneE12_0,5.10,0.00,0.00,DEFAULT_VEHTYPE,238.97,-88.61
0.00,299.43,1,-gneE3_0,5.10,0.00,0.00,DEFAULT_VEHTYPE,171.12,48.34
0.00,284.66,2,-gneE6_0,5.10,0.00,0.00,DEFAULT_VEHTYPE,241.88,-20.24
0.00,37.23,3,-gneE9_0,5.10,0.00,0.00,DEFAULT_VEHTYPE,-24.88,-65.45
0.00,164.22,4,gneE10_0,5.10,0.00,0.00,DEFAULT_VEHTYPE,96.18,106.84
0.00,103.89,5,gneE1_0,5.10,0.00,0.00,DEFAULT_VEHTYPE,-6.34,72.08
0.00,86.84,6,gneE4_0,5.10,0.00,0.00,DEFAULT_VEHTYPE,-48.09,16.76
0.00,158.15,7,gneE7_0,5.10,0.00,0.00,DEFAULT_VEHTYPE,38.51,94.40
1.00,294.32,0,-gneE12_0,6.54,0.00,1.44,DEFAULT_VEHTYPE,237.66,-88.02
1.00,299.43,1,-gneE3_0,6.77,0.00,1.67,DEFAULT_VEHTYPE,169.66,49.16
1.00,284.66,2,-gneE6_0,7.64,0.00,2.54,DEFAULT_VEHTYPE,239.42,-19.60
1.00,37.23,3,-gneE9_0,7.06,0.00,1.96,DEFAULT_VEHTYPE,-23.70,-63.89
1.00,164.22,4,gneE10_0,6.93,0.00,1.83,DEFAULT_VEHTYPE,96.67,105.08
1.00,103.89,5,gneE1_0,7.64,0.00,2.54,DEFAULT_VEHTYPE,-3.87,71.47
1.00,86.84,6,gneE4_0,6.73,0.00,1.63,DEFAULT_VEHTYPE,-46.46,16.85
1.00,158.15,7,gneE7_0,7.38,0.00,2.28,DEFAULT_VEHTYPE,39.36,92.28
2.00,294.32,0,-gneE12_0,9.87,0.00,3.33,DEFAULT_VEHTYPE,234.62,-86.64
2.00,299.43,1,-gneE3_0,10.08,0.00,3.31,DEFAULT_VEHTYPE,166.78,50.78
2.00,284.66,2,-gneE6_0,12.77,0.00,5.13,DEFAULT_VEHTYPE,234.45,-18.30
2.00,37.23,3,-gneE9_0,10.75,0.00,3.69,DEFAULT_VEHTYPE,-21.47,-60.95
2.00,164.22,4,gneE10_0,10.76,0.00,3.83,DEFAULT_VEHTYPE,97.71,101.40
2.00,103.89,5,gneE1_0,12.20,0.00,4.56,DEFAULT_VEHTYPE,0.55,70.37
2.00,86.84,6,gneE4_0,10.23,0.00,3.50,DEFAULT_VEHTYPE,-42.96,17.04
2.00,158.15,7,gneE7_0,11.91,0.00,4.53,DEFAULT_VEHTYPE,41.04,88.07
3.00,294.32,0,-gneE12_0,15.73,0.00,5.85,DEFAULT_VEHTYPE,229.29,-84.23
3.00,299.43,1,-gneE3_0,14.85,0.00,4.77,DEFAULT_VEHTYPE,162.63,53.13
3.00,284.66,2,-gneE6_0,20.09,0.00,7.31,DEFAULT_VEHTYPE,227.37,-16.45
3.00,37.23,3,-gneE9_0,16.14,0.00,5.40,DEFAULT_VEHTYPE,-18.20,-56.66
3.00,164.22,4,gneE10_0,17.13,0.00,6.37,DEFAULT_VEHTYPE,99.45,95.27
3.00,103.89,5,gneE1_0,18.69,0.00,6.49,DEFAULT_VEHTYPE,6.85,68.81
3.00,86.84,6,gneE4_0,15.93,0.00,5.70,DEFAULT_VEHTYPE,-37.28,17.36
3.00,158.15,7,gneE7_0,18.22,0.00,6.31,DEFAULT_VEHTYPE,43.39,82.21
4.00,294.32,0,-gneE12_0,22.96,0.00,7.23,DEFAULT_VEHTYPE,222.70,-81.25
4.00,299.43,1,-gneE3_0,21.14,0.00,6.30,DEFAULT_VEHTYPE,157.15,56.22
4.00,284.66,2,-gneE6_0,28.85,0.00,8.76,DEFAULT_VEHTYPE,218.90,-14.23
4.00,37.23,3,-gneE9_0,23.63,0.00,7.48,DEFAULT_VEHTYPE,-13.67,-50.70
4.00,170.60,4,:gneJ4_9_0,2.41,0.00,7.72,DEFAULT_VEHTYPE,101.00,87.76
4.00,103.89,5,gneE1_0,27.47,0.00,8.78,DEFAULT_VEHTYPE,15.37,66.71
4.00,86.84,6,gneE4_0,24.19,0.00,8.26,DEFAULT_VEHTYPE,-29.03,17.81
4.00,158.15,7,gneE7_0,26.74,0.00,8.52,DEFAULT_VEHTYPE,46.56,74.31
5.00,294.32,0,-gneE12_0,31.80,0.00,8.84,DEFAULT_VEHTYPE,214.64,-77.61
5.00,299.43,1,-gneE3_0,29.83,0.00,8.69,DEFAULT_VEHTYPE,149.58,60.49
5.00,284.66,2,-gneE6_0,38.97,0.00,10.12,DEFAULT_VEHTYPE,209.11,-11.67
5.00,37.23,3,-gneE9_0,33.67,0.00,10.04,DEFAULT_VEHTYPE,-7.60,-42.70
5.00,231.19,4,:gneJ4_9_0,10.67,0.00,8.26,DEFAULT_VEHTYPE,95.65,81.78
5.00,103.89,5,gneE1_0,37.96,0.00,10.49,DEFAULT_VEHTYPE,25.55,64.19
5.00,86.84,6,gneE4_0,34.61,0.00,10.43,DEFAULT_VEHTYPE,-18.62,18.39
5.00,158.15,7,gneE7_0,31.95,0.00,5.21,DEFAULT_VEHTYPE,48.50,69.48
6.00,294.32,0,-gneE12_0,42.71,0.00,10.91,DEFAULT_VEHTYPE,204.70,-73.12
6.00,299.43,1,-gneE3_0,39.86,0.00,10.03,DEFAULT_VEHTYPE,140.84,65.42
6.00,284.66,2,-gneE6_0,51.34,0.00,12.37,DEFAULT_VEHTYPE,197.14,-8.54
6.00,37.23,3,-gneE9_0,46.02,0.00,12.35,DEFAULT_VEHTYPE,-0.12,-32.87
6.00,242.77,4,-gneE2_0,5.45,0.00,7.37,DEFAULT_VEHTYPE,89.17,78.28
6.00,103.89,5,gneE1_0,49.28,0.00,11.32,DEFAULT_VEHTYPE,36.55,61.47
